Year,Countries,1-12Years,13-19Years,20-29Years,30-39Years,40-49Years,50-59Years,60Years and Over,Subtotals
104,獅子山(Sierra Leone),0,0,0,0,0,0,0,0
104,坦桑尼亞(Tanzania),0,0,0,0,1,1,3,5
104,烏干達(Uganda),0,0,0,0,0,0,0,0
104,尚比亞(Zambia),0,0,0,0,0,0,0,0
104,多哥(Togolese Republic),0,0,0,0,0,0,0,0
104,辛巴威(Zimbabwe),0,0,0,0,0,0,0,0
104,史瓦濟蘭(Swaziland),0,0,0,0,0,0,0,0
104,布吉納法索(Burkina Faso),0,0,0,0,0,0,0,0
104,貝南(Benin),0,0,0,0,0,0,0,0
104,赤道幾內亞(Equatorial Guinea),0,0,0,0,0,0,0,0
104,維德角島(Cape Verde),0,0,0,0,0,0,0,0
104,吉布地(Djibouti),0,0,0,0,0,0,0,0
104,西撒哈拉(Saharaui),0,0,0,0,0,0,0,0
104,幾內亞比索(Guinea Bissau),0,0,0,0,0,0,0,0
104,葛摩(Comoros),0,0,0,0,0,0,0,0
104,留尼旺(Reunion),0,0,0,0,0,0,0,0
104,聖多美及普林西比(Sao Tome & Principe),0,0,0,0,0,0,0,0
104,美國(United States of America),23872,22783,63626,94449,83462,86307,102657,477156
104,加拿大(Canada),3722,4745,9018,9284,10101,16654,17555,71079
104,百慕達(Bermuda),0,0,0,0,0,0,0,0
104,墨西哥(Mexico),0,0,2,1,3,1,0,7
104,巴拿馬(Panama),0,0,0,0,0,0,0,0
104,巴貝多(Barbados),0,0,0,0,1,0,3,4
104,巴哈馬(Bahamas),0,0,0,0,0,1,2,3
104,古巴(Cuba),0,0,0,0,0,0,0,0
104,哥斯達黎加(Costa Rica),0,0,0,0,0,0,0,0
104,多明尼加(Dominican Rep.),0,0,0,0,0,0,0,0
104,瓜地馬拉(Guatemala),0,0,0,0,0,0,0,0
104,宏都拉斯(Honduras),0,0,0,0,0,0,0,0
104,海地(Haiti),0,0,0,0,0,0,0,0
104,牙買加(Jamaica),0,0,0,0,0,0,0,0
104,尼加拉瓜(Nicaragua),0,0,0,0,0,0,0,0
104,薩爾瓦多(El Salvador),0,0,0,0,0,0,0,0
104,千里達及托貝哥(Trinidad),0,0,0,0,0,0,0,0
104,聖文森(Saint Vincent),0,0,0,0,0,0,0,0
104,貝里斯(Belize),0,0,0,0,0,0,0,0
104,格瑞那達(Grenada),0,0,0,0,0,0,0,0
104,聖露西亞(Saint Lucia),0,0,0,0,0,0,0,0
104,聖克里斯多福(St. Christopher),0,0,0,0,0,0,0,0
104,阿根廷(Argentina),0,0,0,0,0,0,0,0
104,巴西(Brazil),0,0,0,2,7,4,1,14
104,智利(Chile),0,0,0,0,0,0,0,0
104,委內瑞拉(Venezuela),0,0,0,0,0,0,0,0
104,玻利維亞(Bolivia),0,0,0,0,0,0,0,0
104,哥倫比亞(Colombia),0,0,0,0,0,0,0,0
104,厄瓜多爾(Ecuador),0,0,0,0,0,0,0,0
104,巴拉圭(Paraguay),0,0,0,0,0,0,0,0
104,秘魯(Peru),0,0,0,0,0,0,0,0
104,烏拉圭(Uruguay),0,0,0,0,0,2,2,4
104,蘇利南(Suriname),0,0,0,0,0,0,0,0
104,蓋亞納(Guyana),0,0,0,0,0,0,0,0
104,澳洲(Australia),6081,6390,16162,19646,16558,19297,19672,103806
104,紐西蘭(New Zealand),0,0,1,1,0,0,1,3
104,裴濟(Fiji),0,0,1,10,15,9,2,37
104,諾魯(Nauru),0,0,0,0,0,0,0,0
104,帛琉(Palau),803,914,3456,4029,2862,1635,722,14421
104,東加(Tonga),0,0,0,0,0,0,0,0
104,巴布亞新幾內亞(Papua New Guinea),0,0,0,0,1,1,2,4
104,萬那杜(Vanuatu),0,0,0,5,19,31,38,93
104,馬紹爾(Marshall),0,0,1,3,3,5,5,17
104,大溪地(Tahiti),0,0,0,0,0,0,0,0
104,密克羅尼西亞(Micronesian),0,0,0,0,0,0,0,0
104,比利時(Belgium),0,0,0,1,0,0,0,1
104,法國(France),1511,1366,6124,11800,8920,7132,4332,41185
104,德國(Germany),1518,2039,6491,13427,11428,11054,7086,53043
104,義大利(Italy),3,0,0,1,8,1,1,14
104,荷蘭(Netherlands),1190,1287,5604,8573,6330,4885,3037,30906
104,英國(U.K.),0,0,0,0,0,0,0,0
104,西班牙(Spain),0,0,0,1,1,1,3,6
104,瑞典(Sweden),0,0,0,0,0,0,0,0
104,瑞士(Switzerland),0,0,0,0,0,0,0,0
104,挪威(Norway),0,0,0,0,0,0,0,0
104,丹麥(Denmark),0,0,0,0,0,0,0,0
104,愛爾蘭(Ireland),0,0,0,0,0,0,0,0
104,冰島(Iceland),0,0,0,0,0,0,0,0
104,葡萄牙(Portugal),0,0,0,0,0,0,0,0
104,芬蘭(Finland),0,0,0,0,3,1,11,15
104,奧地利(Austria),732,1261,3226,6835,5957,7732,7092,32835
104,南斯拉夫(Yugoslavia),0,0,0,0,0,0,0,0
104,希臘(Greece),0,0,0,0,0,0,0,0
104,馬爾他(Malta),0,0,0,0,0,0,0,0
104,盧森堡(Luxembourg),0,0,0,0,0,0,0,0
104,摩納哥(Monaco),0,0,0,0,0,0,0,0
104,安道爾(Andorra),0,0,0,0,0,0,0,0
104,列支敦斯登(Liechtenstein),0,0,0,0,0,0,0,0
104,白俄羅斯(Belarus),0,0,0,0,0,0,0,0
104,烏克蘭(Ukraine ),0,0,0,0,0,0,0,0
104,教廷(Holy See),0,0,0,0,0,0,0,0
104,克羅埃西亞(Croatia),0,0,0,0,0,0,0,0
104,波士尼亞(Bosnia),0,0,0,0,0,0,0,0
104,愛沙尼亞(Estonia),0,0,0,0,0,0,0,0
104,立陶宛(Lithuania),0,0,0,0,0,0,0,0
104,拉脫維亞(Latvia),0,0,0,0,0,0,0,0
104,馬其頓(Macedonia),0,0,0,0,0,0,0,0
104,斯洛凡尼亞(Slovenia),0,0,0,0,0,0,0,0
104,斯洛伐克(Slovakia),0,0,0,0,0,0,0,0
104,俄羅斯(Russian Federation),69,126,299,418,562,804,1244,3522
104,東德(German Democratic),0,0,0,0,0,0,0,0
104,波蘭(Poland),0,0,0,0,0,0,0,0
104,捷克(Czech),0,0,0,0,0,0,0,0
104,匈牙利(Hungary),0,0,0,0,0,0,0,0
104,阿爾巴尼亞(Albania),0,0,0,0,0,0,0,0
104,羅馬尼亞(Romania),0,0,0,0,0,0,0,0
104,保加利亞(Bulgaria),0,0,0,0,0,0,0,0
104,摩爾多瓦(Moldova),0,0,0,0,0,0,0,0
104,聖馬利諾(San Marino),0,0,0,0,0,0,0,0
總計,,745627,475849,1829173,3072899,2721499,2453846,1882600,13181493
