Year,Countries,1-12Years,13-19Years,20-29Years,30-39Years,40-49Years,50-59Years,60Years and Over,Subtotals
104,日本(Japan),300012,183722,634057,966968,674452,555082,483586,3797879
104,韓國(Korea),24416,21925,108172,148027,92221,62018,43321,500100
104,北韓(Democratic People's Republic of Korea),0,0,0,0,0,0,0,0
104,香港(Hong Kong),96528,60014,285900,504567,455877,370350,234917,2008153
104,中國大陸(Mainland China),139362,73070,249473,623209,825775,856680,636351,3403920
104,澳門(Macao),23566,14739,75675,125842,116691,101954,68677,527144
104,蒙古(Mongolia),0,0,0,0,0,0,0,0
104,越南(Vietnam),32086,12094,29998,101931,85388,87509,60007,409013
104,泰國(Thailand),26618,22990,129160,159100,110838,88135,62682,599523
104,馬來西亞(Malaysia),13443,9883,32973,45838,41233,33740,24521,201631
104,新加坡(Singapore),24730,14997,64678,80990,60833,42091,30197,318516
104,菲律賓(Philippines),8363,7100,42106,47416,33650,25351,16105,180091
104,汶萊(Brunei),9,13,29,40,36,75,83,285
104,印尼(Indonesia),11631,7798,32468,47971,34692,24977,16941,176478
104,柬埔寨(Cambodia),1747,1666,6862,13791,14166,16552,11809,66593
104,寮國(Laos),1,0,11,21,28,55,30,146
104,帝汶(Timor),0,0,0,0,0,0,0,0
104,緬甸(Myanmar),963,569,1415,3559,4755,5050,3688,19999
104,索羅門群島(Solomon Islands),0,0,0,0,0,0,0,0
104,吐瓦魯(Tuvalu),0,0,0,0,0,0,0,0
104,印度(India),259,597,2686,6584,3778,3726,2436,20066
104,巴基斯坦(Pakistan),0,0,0,0,0,0,0,0
104,斯里蘭卡(Sri Lanka),0,0,3,3,3,4,4,17
104,孟加拉(Bangladesh),0,0,0,0,0,0,0,0
104,尼泊爾(Nepal),0,0,0,0,0,0,0,0
104,不丹(Bhutan ),0,0,4,4,7,6,8,29
104,馬爾地夫(Maldives),0,0,0,0,2,4,2,8
104,塞席爾(Seychelles),0,0,0,1,0,7,21,29
104,吉里巴斯(Kiribati),0,0,0,0,1,3,0,4
104,伊朗(Iran),0,0,0,0,0,0,0,0
104,伊拉克(Iraq),0,0,0,0,0,0,0,0
104,巴林(Bahrain),0,0,0,0,0,0,0,0
104,南葉門(South Yemen),0,0,0,0,0,0,0,0
104,沙烏地阿拉伯(Saudi Arabia),0,0,2,3,1,1,3,10
104,科威特(Kuwait),0,0,0,0,0,0,1,1
104,卡達(Qatar),0,0,6,8,4,11,3,32
104,阿曼(Oman),0,0,0,0,0,0,0,0
104,以色列(Israel),0,4,15,42,47,38,32,178
104,約旦(Jordan),0,0,0,0,0,0,0,0
104,敘利亞(Syria),0,0,0,0,0,0,0,0
104,黎巴嫩(Lebanon),0,0,0,0,0,0,0,0
104,阿拉伯聯合大公國(United Arab Emirates),1731,2350,13891,18525,12201,14461,13201,76360
104,葉門(Yemen),0,0,0,0,0,0,0,0
104,土耳其(TURKEY),661,1407,5576,9971,8571,10407,10490,47083
104,賽普勒斯(Cyprus),0,0,0,0,0,0,0,0
104,阿富汗(觀光)(Afghanistan),0,0,0,0,0,0,0,0
104,埃及(Egypt),0,0,0,0,0,0,0,0
104,摩洛哥(Morocco),0,0,0,0,0,0,0,0
104,阿爾及利亞(Algeria),0,0,1,0,0,1,0,2
104,突尼西亞(Tunisia),0,0,0,0,0,0,0,0
104,"利比亞(Libya
)",0,0,0,0,0,0,0,0
104,蘇丹(Sudan),0,0,0,0,0,0,0,0
104,索馬利亞(Somalia),0,0,0,0,0,0,0,0
104,南非(S. Africa),0,0,1,2,5,0,8,16
104,象牙海岸(Cote D'ivoire),0,0,0,0,0,0,0,0
104,奈及利亞(Nigeria),0,0,0,0,0,0,0,0
104,賴比瑞亞(Liberia),0,0,0,0,0,0,0,0
104,幾內亞(Guinea),0,0,0,0,0,0,0,0
104,安哥拉(Angola),0,0,0,0,0,0,0,0
104,剛果共和國(Congo),0,0,0,0,0,0,0,0
104,中非共和國(Central African),0,0,0,0,0,0,0,0
104,波札那(Botswana),0,0,0,0,0,0,0,0
104,喀麥隆(Cameroon),0,0,0,0,0,0,0,0
104,查德(Chad),0,0,0,0,0,0,0,0
104,衣索匹亞(Ethiopia),0,0,0,0,0,0,0,0
104,加彭(Gabon),0,0,0,0,0,0,0,0
104,甘比亞(Gambia),0,0,0,0,0,0,0,0
104,迦納(Ghana),0,0,0,0,0,0,0,0
104,肯亞(Kenya),0,0,0,0,0,0,0,0
104,賴索托(Lesotho),0,0,0,0,0,0,0,0
104,馬拉加西(Madagascar),0,0,0,0,0,0,0,0
104,模里西斯(Mauritius),0,0,0,0,2,0,5,7
104,馬利(Mali),0,0,0,0,0,0,0,0
104,馬拉威(Malawi),0,0,0,0,0,0,0,0
104,莫三鼻克(Mozambique),0,0,0,0,0,0,0,0
104,尼日(Niger),0,0,0,0,0,0,0,0
104,盧安達(Rwanda),0,0,0,0,0,0,0,0
104,塞內加爾(Senegal),0,0,0,0,0,0,0,0
