Year,Countries,1-12Years,13-19Years,20-29Years,30-39Years,40-49Years,50-59Years,60Years and Over,Subtotals
106,日本(Japan),434076,208496,767512,1099427,841573,659627,605162,4615873
106,韓國(Korea),57366,56547,200964,229224,171157,104867,68401,888526
106,北韓(Democratic People's Republic of Korea),6,6,3,13,10,10,3,51
106,香港(Hong Kong),107683,53641,247259,407120,413526,316594,227429,1773252
106,中國大陸(Mainland China),160878,87798,319029,645987,930830,961120,822710,3928352
106,澳門(Macao),41066,17619,82152,133685,130688,106558,77379,589147
106,蒙古(Mongolia),0,39,123,232,258,394,608,1654
106,越南(Vietnam),37564,19121,46613,136512,120448,115020,88724,564002
106,泰國(Thailand),28861,20491,119105,136620,107709,80872,60146,553804
106,馬來西亞(Malaysia),18529,12760,49856,62730,60783,51083,40629,296370
106,新加坡(Singapore),29016,15664,60331,74700,65927,45372,35624,326634
106,菲律賓(Philippines),11396,8805,61666,61389,43293,29912,20136,236597
106,汶萊(Brunei),11,17,82,116,150,198,227,801
106,印尼(Indonesia),11826,6899,30372,43185,36935,28219,20524,177960
106,柬埔寨(Cambodia),1921,1922,10141,16586,17259,19749,15310,82888
106,寮國(Laos),0,5,143,295,311,291,295,1340
106,帝汶(Timor),0,0,0,0,0,0,0,0
106,緬甸(Myanmar),1010,665,2236,4425,5979,6641,5244,26200
106,索羅門群島(Solomon Islands),0,0,13,42,17,31,6,109
106,吐瓦魯(Tuvalu),0,0,1,1,0,0,0,2
106,印度(India),137,324,2539,5647,6290,6063,4965,25965
106,巴基斯坦(Pakistan),0,1,22,93,95,76,49,336
106,斯里蘭卡(Sri Lanka),0,37,226,433,491,610,548,2345
106,孟加拉(Bangladesh),0,0,214,446,393,345,242,1640
106,尼泊爾(Nepal),0,103,290,443,481,575,452,2344
106,不丹(Bhutan ),0,16,249,490,553,657,437,2402
106,馬爾地夫(Maldives),9,53,805,1373,488,261,123,3112
106,塞席爾(Seychelles),4,2,13,28,23,10,6,86
106,吉里巴斯(Kiribati),166,75,418,752,1332,1532,1458,5733
106,伊朗(Iran),0,8,108,289,318,289,185,1197
106,伊拉克(Iraq),0,5,81,325,389,246,151,1197
106,巴林(Bahrain),0,2,45,88,67,66,11,279
106,南葉門(South Yemen),0,0,0,0,0,0,0,0
106,沙烏地阿拉伯(Saudi Arabia),0,1,81,239,159,151,93,724
106,科威特(Kuwait),0,2,8,26,31,19,24,110
106,卡達(Qatar),0,5,182,142,92,62,23,506
106,阿曼(Oman),0,0,16,49,36,31,20,152
