Year,Countries,1-12Years,13-19Years,20-29Years,30-39Years,40-49Years,50-59Years,60Years and Over,Subtotals
106,以色列(Israel),0,67,1035,2122,1919,1714,1107,7964
106,約旦(Jordan),0,11,119,269,311,319,303,1332
106,敘利亞(Syria),0,0,0,0,0,0,0,0
106,黎巴嫩(Lebanon),0,8,66,189,173,118,58,612
106,阿拉伯聯合大公國(United Arab Emirates),2878,2983,11583,14313,10576,11950,13927,68210
106,葉門(Yemen),0,0,0,0,0,0,0,0
106,土耳其(TURKEY),1331,1719,5940,9886,11859,16421,16639,63795
106,賽普勒斯(Cyprus),0,0,48,69,41,58,52,268
106,阿富汗(觀光)(Afghanistan),0,0,0,0,0,0,0,0
106,埃及(Egypt),0,50,637,1447,1357,1946,1884,7321
106,摩洛哥(Morocco),0,6,74,225,394,557,578,1834
106,阿爾及利亞(Algeria),0,0,18,44,32,26,30,150
106,突尼西亞(Tunisia),0,2,29,38,57,83,87,296
106,"利比亞(Libya
)",0,0,0,0,0,0,0,0
106,蘇丹(Sudan),0,0,2,10,7,5,0,24
106,索馬利亞(Somalia),0,0,0,0,0,0,0,0
106,南非(S. Africa),0,53,379,581,621,785,735,3154
106,象牙海岸(Cote D'ivoire),0,0,15,13,12,8,6,54
106,奈及利亞(Nigeria),0,0,17,40,61,47,22,187
106,賴比瑞亞(Liberia),0,0,0,2,1,2,1,6
106,幾內亞(Guinea),0,0,2,4,10,6,3,25
106,安哥拉(Angola),0,0,14,29,17,15,10,85
106,剛果共和國(Congo),0,0,0,5,5,3,0,13
106,中非共和國(Central African),0,0,0,7,2,0,0,9
106,波札那(Botswana),0,0,1,2,7,2,15,27
106,喀麥隆(Cameroon),0,0,2,6,6,6,2,22
106,查德(Chad),0,0,9,38,3,15,3,68
106,衣索匹亞(Ethiopia),0,1,19,59,51,58,74,262
106,加彭(Gabon),0,0,1,0,3,0,1,5
106,甘比亞(Gambia),0,0,0,0,0,0,0,0
106,迦納(Ghana),0,0,14,30,17,32,21,114
106,肯亞(Kenya),0,11,114,278,223,278,294,1198
106,賴索托(Lesotho),0,1,7,33,17,30,19,107
106,馬拉加西(Madagascar),0,2,13,18,5,24,28,90
106,模里西斯(Mauritius),0,14,58,125,109,112,91,509
106,馬利(Mali),0,0,0,0,0,0,0,0
106,馬拉威(Malawi),0,0,18,20,22,9,9,78
106,莫三鼻克(Mozambique),0,0,6,18,16,23,15,78
106,尼日(Niger),0,0,2,8,3,0,1,14
106,盧安達(Rwanda),0,0,0,3,8,4,3,18
106,塞內加爾(Senegal),0,0,6,11,14,9,5,45
106,獅子山(Sierra Leone),0,0,0,0,1,0,2,3
106,坦桑尼亞(Tanzania),0,4,46,63,58,70,76,317
106,烏干達(Uganda),0,2,24,22,23,22,41,134
106,尚比亞(Zambia),0,3,5,5,18,34,31,96
106,多哥(Togolese Republic),0,1,0,4,2,1,1,9
106,辛巴威(Zimbabwe),0,1,6,9,26,27,24,93
106,史瓦濟蘭(Swaziland),0,0,0,0,1,0,0,1
106,布吉納法索(Burkina Faso),0,0,16,53,30,23,9,131
106,貝南(Benin),0,0,0,0,0,0,0,0
106,赤道幾內亞(Equatorial Guinea),0,0,0,0,0,0,0,0
106,維德角島(Cape Verde),0,0,0,0,0,0,0,0
106,吉布地(Djibouti),0,0,0,2,0,1,5,8
106,西撒哈拉(Saharaui),0,0,0,0,0,0,0,0
106,幾內亞比索(Guinea Bissau),0,0,0,0,0,0,0,0
106,葛摩(Comoros),0,0,0,0,0,0,0,0
106,留尼旺(Reunion),0,7,2,5,5,5,0,24
106,聖多美及普林西比(Sao Tome & Principe),0,0,0,0,0,0,0,0
106,美國(United States of America),26123,23442,78239,105474,101083,102746,137405,574512
106,加拿大(Canada),5655,6042,14644,15809,16617,26077,29984,114828
106,百慕達(Bermuda),0,0,1,1,4,2,3,11
106,墨西哥(Mexico),0,11,209,530,457,288,201,1696
106,巴拿馬(Panama),0,3,39,82,82,62,22,290
106,巴貝多(Barbados),0,0,0,0,1,0,0,1
106,巴哈馬(Bahamas),0,0,0,1,4,9,2,16
106,古巴(Cuba),0,0,3,31,36,32,18,120
106,哥斯達黎加(Costa Rica),0,13,102,65,44,45,40,309
106,多明尼加(Dominican Rep.),0,1,39,53,32,34,19,178
106,瓜地馬拉(Guatemala),0,1,16,46,34,34,26,157
106,宏都拉斯(Honduras),0,0,7,31,46,34,11,129
106,海地(Haiti),0,0,5,23,17,24,12,81
106,牙買加(Jamaica),0,0,0,7,4,5,3,19
106,尼加拉瓜(Nicaragua),0,2,35,49,20,21,10,137
106,薩爾瓦多(El Salvador),0,0,20,35,35,24,16,130
106,千里達及托貝哥(Trinidad),0,0,1,3,3,2,1,10
106,聖文森(Saint Vincent),0,0,4,6,4,6,2,22
106,貝里斯(Belize),0,2,11,21,21,13,34,102
106,格瑞那達(Grenada),0,0,0,0,0,0,0,0
106,聖露西亞(Saint Lucia),0,2,2,10,8,8,2,32
106,聖克里斯多福(St. Christopher),0,0,1,6,5,13,1,26
106,阿根廷(Argentina),0,6,43,102,148,170,181,650
106,巴西(Brazil),0,52,131,364,438,382,340,1707
106,智利(Chile),0,6,57,155,75,98,97,488
106,委內瑞拉(Venezuela),0,0,0,1,0,1,4,6
106,玻利維亞(Bolivia),0,0,4,7,7,9,3,30
106,哥倫比亞(Colombia),0,1,31,72,51,41,22,218
106,厄瓜多爾(Ecuador),0,0,45,68,54,33,53,253
106,巴拉圭(Paraguay),0,0,12,22,29,24,24,111
106,秘魯(Peru),0,5,112,275,241,242,166,1041
106,烏拉圭(Uruguay),0,0,1,2,4,7,3,17
106,蘇利南(Suriname),0,2,1,0,6,0,0,9
106,蓋亞納(Guyana),0,0,0,0,0,0,0,0
106,澳洲(Australia),10144,8455,32853,32211,25739,26685,29851,165938
106,紐西蘭(New Zealand),0,109,816,1354,904,1694,1969,6846
106,裴濟(Fiji),20,41,67,164,162,150,102,706
106,諾魯(Nauru),0,0,0,2,0,1,0,3
106,帛琉(Palau),562,554,2153,2610,2065,1275,665,9884
106,東加(Tonga),0,0,0,1,6,2,5,14
106,巴布亞新幾內亞(Papua New Guinea),0,0,6,32,54,47,39,178
106,萬那杜(Vanuatu),0,1,1,2,8,9,7,28
106,馬紹爾(Marshall),0,1,24,81,76,66,29,277
106,大溪地(Tahiti),0,0,0,0,0,0,0,0
106,密克羅尼西亞(Micronesian),0,0,8,32,41,28,17,126
106,比利時(Belgium),0,17,207,257,239,199,112,1031
106,法國(France),1991,1947,10970,17530,14040,12262,7980,66720
106,德國(Germany),2014,3027,12236,22200,20656,20441,15276,95850
106,義大利(Italy),444,981,5970,13899,9291,9648,7113,47346
106,荷蘭(Netherlands),2641,2497,10190,16550,13776,12021,8657,66332
106,英國(U.K.),82,1785,10566,12101,8897,8961,5405,47797
106,西班牙(Spain),0,300,2322,4450,4496,5546,4229,21343
106,瑞典(Sweden),0,61,513,1141,1007,1390,1140,5252
106,瑞士(Switzerland),0,300,1461,2811,2853,4370,3668,15463
106,挪威(Norway),0,37,403,916,739,1015,811,3921
106,丹麥(Denmark),0,87,500,960,935,1612,1730,5824
106,愛爾蘭(Ireland),0,35,323,279,325,404,464,1830
106,冰島(Iceland),0,18,302,844,407,365,259,2195
106,葡萄牙(Portugal),0,78,493,1328,1620,2275,1886,7680
106,芬蘭(Finland),2,57,406,840,850,1406,1492,5053
106,奧地利(Austria),820,1539,6421,11352,10791,15431,13125,59479
106,南斯拉夫(Yugoslavia),0,0,0,0,0,0,0,0
106,希臘(Greece),0,65,761,1694,1623,2050,1731,7924
106,馬爾他(Malta),0,3,28,47,36,39,28,181
106,盧森堡(Luxembourg),0,1,10,27,14,34,22,108
106,摩納哥(Monaco),0,0,0,0,0,0,0,0
106,安道爾(Andorra),0,0,0,0,0,0,0,0
106,列支敦斯登(Liechtenstein),0,0,0,0,0,0,0,0
106,白俄羅斯(Belarus),0,0,6,20,22,15,0,63
106,烏克蘭(Ukraine ),0,2,16,61,70,69,95,313
106,教廷(Holy See),0,0,0,0,0,0,0,0
106,克羅埃西亞(Croatia),0,44,205,582,669,1275,1339,4114
106,波士尼亞(Bosnia),0,4,36,157,189,378,400,1164
106,愛沙尼亞(Estonia),0,7,52,35,35,22,69,220
106,立陶宛(Lithuania),0,5,84,50,60,131,216,546
106,拉脫維亞(Latvia),0,2,25,30,29,19,11,116
106,馬其頓(Macedonia),0,0,6,6,12,16,14,54
106,斯洛凡尼亞(Slovenia),0,15,121,240,354,855,936,2521
106,斯洛伐克(Slovakia),0,0,2,2,0,3,1,8
106,俄羅斯(Russian Federation),59,185,715,1263,1664,2828,4145,10859
106,東德(German Democratic),0,0,0,0,0,0,0,0
106,波蘭(Poland),0,102,855,661,574,811,816,3819
106,捷克(Czech),0,74,823,1543,935,1011,636,5022
106,匈牙利(Hungary),0,87,582,739,685,834,804,3731
106,阿爾巴尼亞(Albania),0,10,125,145,128,234,266,908
106,羅馬尼亞(Romania),0,10,66,105,83,85,61,410
106,保加利亞(Bulgaria),0,9,60,110,131,125,86,521
106,摩爾多瓦(Moldova),0,0,0,2,1,0,0,3
106,聖馬利諾(San Marino),0,0,0,0,0,0,0,0
總計,,996291,568218,2220849,3368074,3233115,2841022,2419968,15647537
