Year,Countries,1-12Years,13-19Years,20-29Years,30-39Years,40-49Years,50-59Years,60Years and Over,Subtotals
108,巴貝多(Barbados),0,0,0,0,0,0,0,0
108,巴哈馬(Bahamas),0,0,0,1,0,0,0,1
108,古巴(Cuba),0,0,0,0,0,0,0,0
108,哥斯達黎加(Costa Rica),0,0,0,0,0,0,0,0
108,多明尼加(Dominican Rep.),0,0,0,0,0,0,0,0
108,瓜地馬拉(Guatemala),0,0,0,0,0,0,0,0
108,宏都拉斯(Honduras),0,0,0,0,0,0,0,0
108,海地(Haiti),0,0,0,0,0,0,0,0
108,牙買加(Jamaica),0,0,0,0,0,0,0,0
108,尼加拉瓜(Nicaragua),0,0,0,0,0,0,0,0
108,薩爾瓦多(El Salvador),0,0,0,0,0,0,0,0
108,千里達及托貝哥(Trinidad),0,0,0,0,0,0,0,0
108,聖文森(Saint Vincent),0,0,0,0,0,0,0,0
108,貝里斯(Belize),0,0,0,0,2,0,4,6
108,格瑞那達(Grenada),0,0,0,0,0,0,0,0
108,聖露西亞(Saint Lucia),0,0,0,0,0,0,0,0
108,聖克里斯多福(St. Christopher),0,0,0,0,0,0,0,0
108,阿根廷(Argentina),0,0,0,0,0,0,0,0
108,巴西(Brazil),0,0,0,0,0,0,0,0
108,智利(Chile),0,0,0,0,0,0,0,0
108,委內瑞拉(Venezuela),0,0,0,0,0,0,0,0
108,玻利維亞(Bolivia),0,0,0,0,0,0,0,0
108,哥倫比亞(Colombia),0,0,0,0,0,0,0,0
108,厄瓜多爾(Ecuador),0,0,0,0,0,0,0,0
108,巴拉圭(Paraguay),0,0,0,0,0,0,0,0
108,秘魯(Peru),0,0,0,0,0,0,0,0
108,烏拉圭(Uruguay),0,0,0,1,1,1,3,6
108,蘇利南(Suriname),0,0,0,0,0,0,0,0
108,蓋亞納(Guyana),0,0,0,0,0,0,0,0
108,澳洲(Australia),12705,9480,33253,32863,29750,28809,33188,180048
108,紐西蘭(New Zealand),1901,1220,3788,5971,4559,6450,8568,32457
108,裴濟(Fiji),0,0,0,0,0,0,0,0
108,諾魯(Nauru),0,0,3,5,8,0,0,16
108,帛琉(Palau),911,817,3335,3991,3285,2013,1159,15511
108,東加(Tonga),0,0,0,0,0,0,0,0
108,巴布亞新幾內亞(Papua New Guinea),0,0,0,0,2,1,9,12
108,萬那杜(Vanuatu),0,0,0,0,0,0,2,2
108,馬紹爾(Marshall),0,0,10,13,18,11,6,58
108,大溪地(Tahiti),0,0,0,0,0,0,0,0
108,密克羅尼西亞(Micronesian),0,0,1,1,4,9,10,25
108,比利時(Belgium),0,0,0,1,0,0,0,1
108,法國(France),2380,2341,11230,16999,16089,15025,11578,75642
108,德國(Germany),1946,2402,9005,14461,14625,14922,11660,69021
108,義大利(Italy),698,854,3706,6957,5121,5802,4579,27717
108,荷蘭(Netherlands),2596,2101,9276,14377,12741,12015,10228,63334
108,英國(U.K.),1916,1879,7355,8042,7118,6928,4754,37992
108,西班牙(Spain),0,0,4,3,0,2,0,9
108,瑞典(Sweden),0,0,0,0,0,0,0,0
108,瑞士(Switzerland),0,2,0,0,2,0,2,6
108,挪威(Norway),0,0,0,0,1,0,0,1
108,丹麥(Denmark),0,0,0,0,0,1,1,2
108,愛爾蘭(Ireland),0,0,1,0,0,0,0,1
108,冰島(Iceland),0,4,12,5,25,27,15,88
108,葡萄牙(Portugal),0,0,0,1,0,0,0,1
108,芬蘭(Finland),0,0,0,0,3,1,6,10
108,奧地利(Austria),1945,2313,8311,13494,14795,20650,20029,81537
108,南斯拉夫(Yugoslavia),0,0,0,0,0,0,0,0
108,希臘(Greece),0,0,0,1,1,1,0,3
108,馬爾他(Malta),0,0,0,0,0,0,0,0
108,盧森堡(Luxembourg),0,0,0,0,0,0,0,0
108,摩納哥(Monaco),0,0,0,0,0,0,0,0
108,安道爾(Andorra),0,0,0,0,0,0,0,0
108,列支敦斯登(Liechtenstein),0,0,0,0,0,0,0,0
108,白俄羅斯(Belarus),0,0,0,0,0,0,0,0
108,烏克蘭(Ukraine ),0,0,0,0,0,0,0,0
108,教廷(Holy See),0,0,0,0,0,0,0,0
108,克羅埃西亞(Croatia),0,0,0,0,0,0,0,0
108,波士尼亞(Bosnia),0,0,0,0,0,0,0,0
108,愛沙尼亞(Estonia),0,0,0,0,0,0,0,0
108,立陶宛(Lithuania),0,0,0,0,0,0,0,0
108,拉脫維亞(Latvia),0,0,0,0,0,0,0,0
108,馬其頓(Macedonia),0,0,0,0,0,0,0,0
108,斯洛凡尼亞(Slovenia),0,0,0,0,0,0,0,0
108,斯洛伐克(Slovakia),0,0,0,0,0,0,0,0
108,俄羅斯(Russian Federation),103,221,448,661,1112,2004,3630,8179
108,東德(German Democratic),0,0,0,0,0,0,0,0
108,波蘭(Poland),0,1,4,2,9,3,8,27
108,捷克(Czech),0,2,1,3,1,1,2,10
108,匈牙利(Hungary),0,0,0,0,0,0,0,0
108,阿爾巴尼亞(Albania),0,0,0,0,0,0,0,0
108,羅馬尼亞(Romania),0,0,0,0,0,0,0,0
108,保加利亞(Bulgaria),0,0,0,0,0,0,0,0
108,摩爾多瓦(Moldova),0,0,0,0,0,0,0,0
108,聖馬利諾(San Marino),0,0,0,0,0,0,0,0
總計,,1113238,624913,2401246,3427032,3519550,3080225,2859528,17025732
