Year,Countries,1-12Years,13-19Years,20-29Years,30-39Years,40-49Years,50-59Years,60Years and Over,Subtotals
107,牙買加(Jamaica),0,0,2,5,0,1,3,11
107,尼加拉瓜(Nicaragua),0,1,15,29,17,23,12,97
107,薩爾瓦多(El Salvador),0,1,8,21,18,57,48,153
107,千里達及托貝哥(Trinidad),0,0,0,2,5,3,2,12
107,聖文森(Saint Vincent),0,0,2,2,0,3,3,10
107,貝里斯(Belize),0,0,17,21,21,12,13,84
107,格瑞那達(Grenada),0,0,0,0,0,0,0,0
107,聖露西亞(Saint Lucia),0,0,3,4,6,7,0,20
107,聖克里斯多福(St. Christopher),0,0,2,4,3,9,0,18
107,阿根廷(Argentina),0,52,38,92,89,114,87,472
107,巴西(Brazil),0,44,138,306,378,326,299,1491
107,智利(Chile),0,4,53,113,92,98,111,471
107,委內瑞拉(Venezuela),0,0,0,0,0,0,1,1
107,玻利維亞(Bolivia),0,0,3,8,8,4,2,25
107,哥倫比亞(Colombia),0,2,40,60,55,50,18,225
107,厄瓜多爾(Ecuador),0,1,25,55,36,16,31,164
107,巴拉圭(Paraguay),0,0,11,25,17,20,12,85
107,秘魯(Peru),0,5,81,253,250,245,220,1054
107,烏拉圭(Uruguay),0,0,0,3,11,1,2,17
107,蘇利南(Suriname),0,0,1,6,6,2,0,15
107,蓋亞納(Guyana),0,0,0,0,0,0,0,0
107,澳洲(Australia),12513,10581,36641,35918,30855,29988,33667,190163
107,紐西蘭(New Zealand),227,489,2297,3479,2590,5093,6726,20901
107,裴濟(Fiji),1,25,58,116,91,87,47,425
107,諾魯(Nauru),0,0,0,5,8,0,0,13
107,帛琉(Palau),641,760,2299,2753,2549,1664,858,11524
107,東加(Tonga),0,0,1,3,0,1,2,7
107,巴布亞新幾內亞(Papua New Guinea),0,0,25,85,124,118,38,390
107,萬那杜(Vanuatu),0,0,4,8,6,8,7,33
107,馬紹爾(Marshall),0,0,29,58,60,60,26,233
107,大溪地(Tahiti),0,0,0,0,0,0,0,0
107,密克羅尼西亞(Micronesian),0,0,14,40,42,36,21,153
107,比利時(Belgium),0,63,307,462,403,420,318,1973
107,法國(France),2644,2612,12388,19935,17188,15831,11216,81814
107,德國(Germany),1838,2811,12049,20729,19364,19336,14223,90350
107,義大利(Italy),535,1077,6034,12165,8413,9650,7066,44940
107,荷蘭(Netherlands),2389,2177,9502,15768,12955,11821,9295,63907
107,英國(U.K.),2028,3585,14266,15680,12684,12188,8780,69211
107,西班牙(Spain),0,300,2289,3653,3641,4562,3478,17923
107,瑞典(Sweden),0,69,465,937,819,1174,1151,4615
107,瑞士(Switzerland),0,306,1636,2509,2716,4215,3955,15337
107,挪威(Norway),0,43,264,688,541,758,631,2925
107,丹麥(Denmark),0,122,434,795,815,1203,1346,4715
107,愛爾蘭(Ireland),0,40,325,275,245,247,345,1477
107,冰島(Iceland),0,13,195,472,255,241,150,1326
107,葡萄牙(Portugal),0,79,369,1049,1489,2281,2103,7370
107,芬蘭(Finland),0,65,379,717,627,929,1028,3745
107,奧地利(Austria),2070,2809,9233,16157,16391,23410,20961,91031
107,南斯拉夫(Yugoslavia),0,0,0,0,0,0,0,0
107,希臘(Greece),0,66,716,1664,1256,1818,1734,7254
107,馬爾他(Malta),0,9,25,50,32,34,45,195
107,盧森堡(Luxembourg),0,12,20,25,34,31,14,136
107,摩納哥(Monaco),0,0,0,0,0,0,0,0
107,安道爾(Andorra),0,0,0,0,0,0,0,0
107,列支敦斯登(Liechtenstein),0,0,0,0,0,0,0,0
107,白俄羅斯(Belarus),0,1,7,10,10,13,25,66
107,烏克蘭(Ukraine ),0,3,15,70,57,73,98,316
107,教廷(Holy See),0,0,0,0,0,0,0,0
107,克羅埃西亞(Croatia),0,39,233,513,625,1116,1100,3626
107,波士尼亞(Bosnia),0,1,12,25,41,107,121,307
107,愛沙尼亞(Estonia),0,5,27,36,44,86,76,274
107,立陶宛(Lithuania),0,3,40,55,61,112,175,446
107,拉脫維亞(Latvia),0,1,19,23,37,47,19,146
107,馬其頓(Macedonia),0,0,2,7,8,15,8,40
107,斯洛凡尼亞(Slovenia),0,17,130,252,364,763,973,2499
107,斯洛伐克(Slovakia),0,2,5,9,6,9,2,33
107,俄羅斯(Russian Federation),1,58,601,1024,1125,1759,2446,7014
107,東德(German Democratic),0,0,0,0,0,0,0,0
107,波蘭(Poland),0,113,967,584,570,769,798,3801
107,捷克(Czech),3,98,624,1107,646,704,438,3620
107,匈牙利(Hungary),0,50,397,468,445,613,567,2540
107,阿爾巴尼亞(Albania),0,8,71,121,166,271,371,1008
107,羅馬尼亞(Romania),0,13,78,94,84,126,153,548
107,保加利亞(Bulgaria),0,13,42,69,78,87,74,363
107,摩爾多瓦(Moldova),0,0,0,0,0,0,0,0
107,聖馬利諾(San Marino),0,0,0,0,0,0,0,0
總計,,1084005,623232,2356285,3485599,3440541,3002158,2648078,16639898
