Year,Countries,1-12Years,13-19Years,20-29Years,30-39Years,40-49Years,50-59Years,60Years and Over,Subtotals
105,日本(Japan),368475,194496,739221,1076673,768012,609087,539276,4295240
105,韓國(Korea),49993,51069,177825,213388,154792,95959,65394,808420
105,北韓(Democratic People's Republic of Korea),0,0,0,0,0,0,0,0
105,香港(Hong Kong),106386,56703,268014,454050,438893,343990,234611,1902647
105,中國大陸(Mainland China),153103,81775,286039,627033,886437,917572,733518,3685477
105,澳門(Macao),36927,18486,85474,137880,133407,109429,77247,598850
105,蒙古(Mongolia),0,6,62,59,125,145,179,576
105,越南(Vietnam),34047,14671,34971,115778,98618,97246,70613,465944
105,泰國(Thailand),26154,19863,116941,135033,101130,77986,55680,532787
105,馬來西亞(Malaysia),16369,10940,43038,54055,48550,40762,31584,245298
105,新加坡(Singapore),26763,15648,60136,76539,64239,43610,32980,319915
105,菲律賓(Philippines),11119,9564,56554,59193,43288,31223,20860,231801
105,汶萊(Brunei),7,15,58,58,101,137,164,540
105,印尼(Indonesia),11138,7136,30311,44266,36001,27501,19385,175738
105,柬埔寨(Cambodia),1688,1675,7418,13463,14038,16330,12669,67281
105,寮國(Laos),0,1,74,110,156,175,172,688
105,帝汶(Timor),0,0,0,0,0,0,0,0
105,緬甸(Myanmar),1044,640,1963,4385,5854,6367,4943,25196
105,索羅門群島(Solomon Islands),0,0,9,23,17,12,5,66
105,吐瓦魯(Tuvalu),0,0,0,3,2,1,0,6
105,印度(India),306,497,2491,6496,4744,4634,3231,22399
105,巴基斯坦(Pakistan),0,0,15,45,35,42,22,159
105,斯里蘭卡(Sri Lanka),0,27,120,201,188,213,195,944
105,孟加拉(Bangladesh),0,0,83,164,144,152,62,605
105,尼泊爾(Nepal),0,31,146,198,207,233,174,989
105,不丹(Bhutan ),0,4,129,280,278,310,194,1195
105,馬爾地夫(Maldives),0,16,202,396,186,84,51,935
105,塞席爾(Seychelles),0,1,7,14,11,6,16,55
105,吉里巴斯(Kiribati),0,0,1,3,3,0,0,7
105,伊朗(Iran),0,5,60,129,133,113,118,558
105,伊拉克(Iraq),0,2,33,156,217,169,81,658
105,巴林(Bahrain),0,0,11,11,14,11,4,51
105,南葉門(South Yemen),0,0,0,0,0,0,0,0
105,沙烏地阿拉伯(Saudi Arabia),0,1,39,97,78,84,45,344
105,科威特(Kuwait),0,0,14,20,10,9,8,61
105,卡達(Qatar),0,0,78,70,41,47,18,254
105,阿曼(Oman),0,1,5,14,12,7,8,47
105,以色列(Israel),0,27,588,1163,947,799,472,3996
105,約旦(Jordan),0,6,22,65,82,90,87,352
105,敘利亞(Syria),0,0,0,0,0,0,0,0
105,黎巴嫩(Lebanon),0,3,22,72,97,48,24,266
105,阿拉伯聯合大公國(United Arab Emirates),2309,2762,16454,20242,12476,12970,11853,79066
105,葉門(Yemen),0,0,0,0,1,0,0,1
105,土耳其(TURKEY),1421,1856,8794,13570,12817,15987,15119,69564
105,賽普勒斯(Cyprus),0,0,43,27,14,18,27,129
105,阿富汗(觀光)(Afghanistan),2,0,4,6,6,9,1,28
105,埃及(Egypt),8,17,189,417,437,503,555,2126
105,摩洛哥(Morocco),0,0,17,66,85,139,107,414
105,阿爾及利亞(Algeria),0,2,2,8,17,4,9,42
105,突尼西亞(Tunisia),0,0,8,20,28,44,46,146
105,"利比亞(Libya
)",0,0,0,0,0,0,0,0
105,蘇丹(Sudan),0,0,0,2,7,1,0,10
105,索馬利亞(Somalia),0,0,0,0,0,0,0,0
105,南非(S. Africa),0,9,154,238,282,391,323,1397
105,象牙海岸(Cote D'ivoire),0,0,0,5,3,2,2,12
105,奈及利亞(Nigeria),0,0,10,22,20,15,11,78
