Year,Countries,1-12Years,13-19Years,20-29Years,30-39Years,40-49Years,50-59Years,60Years and Over,Subtotals
105,賴比瑞亞(Liberia),0,0,0,0,0,0,0,0
105,幾內亞(Guinea),0,0,1,0,1,3,1,6
105,安哥拉(Angola),0,0,2,5,3,3,1,14
105,剛果共和國(Congo),0,0,0,0,2,1,0,3
105,中非共和國(Central African),0,0,0,0,0,1,0,1
105,波札那(Botswana),0,0,1,0,2,0,0,3
105,喀麥隆(Cameroon),0,0,0,2,3,0,0,5
105,查德(Chad),0,0,1,8,3,7,0,19
105,衣索匹亞(Ethiopia),0,0,6,10,10,18,22,66
105,加彭(Gabon),0,0,1,1,0,0,0,2
105,甘比亞(Gambia),0,0,0,0,0,0,0,0
105,迦納(Ghana),0,0,4,5,6,5,5,25
105,肯亞(Kenya),0,2,30,87,58,52,61,290
105,賴索托(Lesotho),0,1,6,5,3,7,3,25
105,馬拉加西(Madagascar),0,0,2,3,8,20,6,39
105,模里西斯(Mauritius),0,1,12,34,37,44,32,160
105,馬利(Mali),0,0,0,0,0,0,0,0
105,馬拉威(Malawi),0,1,4,11,6,7,11,40
105,莫三鼻克(Mozambique),0,0,5,8,7,11,5,36
105,尼日(Niger),0,0,0,2,1,0,0,3
105,盧安達(Rwanda),0,0,0,1,3,3,0,7
105,塞內加爾(Senegal),0,0,2,1,2,3,0,8
105,獅子山(Sierra Leone),0,0,0,0,0,1,0,1
105,坦桑尼亞(Tanzania),0,0,5,11,13,12,17,58
105,烏干達(Uganda),0,0,7,1,10,3,4,25
105,尚比亞(Zambia),0,0,3,3,4,5,6,21
105,多哥(Togolese Republic),0,0,1,4,0,0,0,5
105,辛巴威(Zimbabwe),0,0,0,0,3,0,3,6
105,史瓦濟蘭(Swaziland),0,0,0,0,0,0,0,0
105,布吉納法索(Burkina Faso),0,0,8,24,10,8,4,54
105,貝南(Benin),0,0,5,1,2,4,0,12
105,赤道幾內亞(Equatorial Guinea),0,0,0,0,0,0,0,0
105,維德角島(Cape Verde),0,0,0,0,0,0,0,0
105,吉布地(Djibouti),0,0,0,0,0,0,0,0
105,西撒哈拉(Saharaui),0,0,0,0,0,0,0,0
105,幾內亞比索(Guinea Bissau),0,0,0,0,0,0,0,0
105,葛摩(Comoros),0,0,0,0,0,0,0,0
105,留尼旺(Reunion),0,0,0,3,2,0,0,5
105,聖多美及普林西比(Sao Tome & Principe),0,0,1,12,7,1,1,22
105,美國(United States of America),25610,22593,69936,99952,92493,94594,121921,527099
105,加拿大(Canada),4373,5447,10901,11795,13381,22377,25131,93405
105,百慕達(Bermuda),0,1,0,0,0,0,0,1
105,墨西哥(Mexico),0,2,71,173,181,142,57,626
105,巴拿馬(Panama),0,0,3,23,18,21,7,72
105,巴貝多(Barbados),0,0,0,1,0,0,0,1
105,巴哈馬(Bahamas),0,0,0,0,0,0,0,0
105,古巴(Cuba),0,0,3,5,3,5,2,18
105,哥斯達黎加(Costa Rica),0,0,2,10,5,8,11,36
105,多明尼加(Dominican Rep.),0,0,7,10,11,7,8,43
105,瓜地馬拉(Guatemala),0,0,10,14,13,29,9,75
105,宏都拉斯(Honduras),0,0,3,3,21,2,2,31
105,海地(Haiti),0,0,1,4,5,3,1,14
105,牙買加(Jamaica),0,0,0,1,0,2,1,4
105,尼加拉瓜(Nicaragua),0,0,8,9,13,6,8,44
105,薩爾瓦多(El Salvador),0,0,2,7,9,8,8,34
105,千里達及托貝哥(Trinidad),0,0,1,2,0,0,0,3
105,聖文森(Saint Vincent),0,0,0,5,3,1,0,9
105,貝里斯(Belize),0,0,1,5,6,4,12,28
105,格瑞那達(Grenada),0,0,0,0,0,1,0,1
105,聖露西亞(Saint Lucia),0,0,2,7,1,4,3,17
105,聖克里斯多福(St. Christopher),0,0,0,4,4,5,0,13
105,阿根廷(Argentina),0,0,13,41,63,72,49,238
105,巴西(Brazil),0,0,59,140,176,119,147,641
105,智利(Chile),0,0,14,23,20,25,15,97
105,委內瑞拉(Venezuela),0,0,1,0,0,1,2,4
105,玻利維亞(Bolivia),0,0,1,1,0,0,0,2
105,哥倫比亞(Colombia),0,0,15,29,20,27,9,100
105,厄瓜多爾(Ecuador),0,0,15,24,12,19,27,97
105,巴拉圭(Paraguay),0,1,17,11,18,6,5,58
105,秘魯(Peru),0,3,46,100,92,81,33,355
105,烏拉圭(Uruguay),0,0,0,1,3,2,10,16
105,蘇利南(Suriname),0,0,1,2,0,0,1,4
105,蓋亞納(Guyana),0,0,0,0,0,0,0,0
105,澳洲(Australia),8114,7730,23301,26036,23042,24948,26330,139501
105,紐西蘭(New Zealand),31,57,284,554,396,712,770,2804
105,裴濟(Fiji),38,19,83,178,140,142,96,696
105,諾魯(Nauru),0,0,0,0,0,0,0,0
105,帛琉(Palau),810,998,3437,3620,2845,1698,795,14203
105,東加(Tonga),0,0,0,3,1,0,1,5
105,巴布亞新幾內亞(Papua New Guinea),0,0,12,28,23,45,17,125
105,萬那杜(Vanuatu),0,0,0,2,10,17,26,55
105,馬紹爾(Marshall),0,0,8,19,28,13,5,73
105,大溪地(Tahiti),0,0,0,0,0,0,0,0
105,密克羅尼西亞(Micronesian),0,0,4,10,18,11,2,45
105,比利時(Belgium),0,6,72,99,93,64,23,357
105,法國(France),1506,1390,7752,12655,10193,8234,4731,46461
105,德國(Germany),1726,2258,8234,16433,15047,13995,8761,66454
105,義大利(Italy),23,171,1649,3942,2729,2849,1691,13054
105,荷蘭(Netherlands),1192,1104,5750,8668,7054,5604,3479,32851
105,英國(U.K.),0,710,3851,4139,3081,3037,1503,16321
105,西班牙(Spain),0,131,1466,1901,1591,1491,1025,7605
105,瑞典(Sweden),0,32,182,387,369,454,363,1787
105,瑞士(Switzerland),0,131,628,1075,1227,1451,1017,5529
105,挪威(Norway),0,26,152,288,260,378,259,1363
105,丹麥(Denmark),0,44,221,453,519,609,523,2369
105,愛爾蘭(Ireland),0,15,120,136,131,100,71,573
105,冰島(Iceland),0,3,84,205,121,70,56,539
105,葡萄牙(Portugal),0,22,208,384,435,600,461,2110
105,芬蘭(Finland),0,23,139,286,362,597,507,1914
105,奧地利(Austria),668,1342,4524,8173,7855,10711,8661,41934
105,南斯拉夫(Yugoslavia),0,0,0,0,0,0,0,0
105,希臘(Greece),0,29,242,507,409,529,341,2057
105,馬爾他(Malta),0,0,14,12,10,0,2,38
105,盧森堡(Luxembourg),0,1,6,18,10,9,3,47
105,摩納哥(Monaco),0,0,0,0,0,0,0,0
105,安道爾(Andorra),0,0,0,0,0,0,0,0
105,列支敦斯登(Liechtenstein),0,0,0,0,0,0,0,0
105,白俄羅斯(Belarus),0,0,1,4,7,1,0,13
105,烏克蘭(Ukraine ),0,3,9,19,19,30,50,130
105,教廷(Holy See),0,0,0,0,0,0,0,0
105,克羅埃西亞(Croatia),0,8,81,145,126,248,227,835
105,波士尼亞(Bosnia),0,1,11,44,49,109,110,324
105,愛沙尼亞(Estonia),0,1,10,9,20,20,6,66
105,立陶宛(Lithuania),0,1,19,29,40,80,92,261
105,拉脫維亞(Latvia),0,0,16,16,10,20,16,78
105,馬其頓(Macedonia),0,0,3,3,1,6,5,18
105,斯洛凡尼亞(Slovenia),0,0,39,71,122,195,230,657
105,斯洛伐克(Slovakia),0,0,0,1,2,0,0,3
105,俄羅斯(Russian Federation),25,126,425,699,913,1553,1941,5682
105,東德(German Democratic),0,0,0,0,0,0,0,0
105,波蘭(Poland),0,82,526,387,318,430,431,2174
105,捷克(Czech),3,41,333,675,422,467,242,2183
105,匈牙利(Hungary),0,37,208,254,263,352,249,1363
105,阿爾巴尼亞(Albania),0,1,10,40,81,124,110,366
105,羅馬尼亞(Romania),0,2,24,38,35,23,32,154
105,保加利亞(Bulgaria),0,3,34,34,43,39,6,159
105,摩爾多瓦(Moldova),0,0,0,3,1,0,1,5
105,聖馬利諾(San Marino),0,0,0,0,0,0,0,0
總計,,891378,532555,2083261,3261532,3014528,2654521,2145071,14582846
